did,name,version,status,format,file_id,default_target_attribute,upload_date,NumberOfInstances,NumberOfFeatures,NumberOfNumericFeatures,NumberOfSymbolicFeatures,dataset_md5_checksum,metadata_response_sha256
40,sonar,1,active,ARFF,40,Class,2014-04-06T23:22:24,208,61,60,1,3ab630fbbfe25ab48b9bb47ce5759203,1a86fb96e6c26d23edbcb83c12c0dfb0497d6c682d39402e0849eb9b492b352d
43,haberman,1,active,ARFF,43,Survival_status,2014-04-06T23:22:34,306,4,2,2,fe063732e696d8e7aa79746032f0191b,4179e5f97408b95bd309b36ee64312f1e29ba42920d61995699bf8c813942fe7
44,spambase,1,active,ARFF,44,class,2014-04-06T23:22:41,4601,58,57,1,d9ace01aeac3461e326a8e1b2d53fd84,e89bd76cdfc2aa4a6b81e941bae76e8fa6b2da970e03bae5412c67504febe8b6
49,heart-c,1,active,ARFF,49,num,2014-04-06T23:22:56,303,14,6,8,f255fbfe272738f3da960f63a451ca0a,160a4c73f4e02dad1bb27a5b086fb46dac03f0a8c024325a65b56268536e30d2
50,tic-tac-toe,1,active,ARFF,50,Class,2014-04-06T23:22:59,958,10,0,10,34b2992c41e5e23c42769817e96305ac,e33feb80589dfe136df4126d2cac0feff2de799f7fe5298f66c217088bf48806
51,heart-h,1,active,ARFF,51,num,2014-04-06T23:23:01,294,14,6,8,04ef502d72e666425439ac393858ddee,f345e828a7fb712e1c3eaf2d276c77d44fd0da46ff53a0004c4581ee4e94ec70
52,trains,1,active,ARFF,52,class,2014-04-06T23:23:04,10,33,0,33,8ac83ba5d9d9c19d3593f267de253d15,f84bf6d676451956b9747e713863797e118f3249185349f7704d7883a631f0dd
53,heart-statlog,1,active,ARFF,53,class,2014-04-06T23:23:06,270,14,13,1,65dd57335c2c0e458cf83b22af8db16b,479174866320d79be2198a18a10416e9c805d6dfa2c05e7e5172b8e3b8329707
55,hepatitis,1,active,ARFF,55,Class,2014-04-06T23:23:13,155,20,6,14,7d82e0f546eaaf1c5cc128825fe5a0fb,ab7b251653ebfc046838ef4a849a0c76c37e4b2e441ba484641d9ab7ad6dcba9
56,vote,1,active,ARFF,56,Class,2014-04-06T23:23:15,435,17,0,17,3c16059c5b92f6551f720f97d0eccc09,7a84e32dbccc6f322ebad1d38151fb325070841efdd23c1605e254d3acf8fe46
59,ionosphere,1,active,ARFF,59,class,2014-04-06T23:23:29,351,35,34,1,23dd3c8b5693e2848901fd1a0248ef42,2ba2e1a42907b8cfaf4a13004732e403253966042ded1d261ca0b2e889647930
72,BNG(kr-vs-kp),1,active,ARFF,1718,class,2014-04-08T06:04:36,1000000,37,0,37,7b552f054a7508bfb34f41d3eccb2081,3162a425e6416abdac841120c01f577b6168fe4b0577aef68129467033d66b0c
73,"BNG(labor,nominal,1000000)",1,active,ARFF,1719,class,2014-04-08T06:07:14,1000000,17,0,17,8f41a9eaa8ce1109dd0c98d64c47fd31,5d940d54c8d9b3bd7c462471784048b2d665a60aa041e4bff033096e91c54299
77,"BNG(breast-cancer,nominal,1000000)",1,active,ARFF,1751,Class,2014-04-08T06:25:27,1000000,10,0,10,e2cfc5ac483f69730a23ee2b72220a6d,60f5b31220770fe444bd96a63ef3038b3f81a4eca93866e9dbc0a44f1a97af68
120,BNG(mushroom),1,active,ARFF,1840,class,2014-04-08T12:52:04,1000000,23,0,23,e7217deffa0bf1d6ea0124004bf956d5,2074788a312d78e5511a1c1c3d4429f6e7636520404140ebbb0786e04f671c5f
121,"BNG(colic.ORIG,nominal,1000000)",1,active,ARFF,1841,pathology_cp_data,2014-04-08T12:54:16,1000000,28,0,28,3e07e72de2950434a4e092207d637851,ee3a829ae304e6d3df4b10d8193c269435909f3d64a5cadee001be96ff7077cc
122,"BNG(colic,nominal,1000000)",1,active,ARFF,1842,surgical_lesion,2014-04-08T12:56:56,1000000,23,0,23,285ff7195ee590214048a5a6610fcb6f,7ccbdd433b53f3f3cdfcc5a4a2e6db061607dbbe9d35aec9f525cbd4a16c4bc4
124,"BNG(credit-a,nominal,1000000)",1,active,ARFF,1844,class,2014-04-08T13:10:27,1000000,16,0,16,f49b440fb790651102577ec421f530f8,ece979ebd3b029a3dc46e5f94b877bae30dcab3a457410f935a50e73c1d9a3e4
126,"BNG(credit-g,nominal,1000000)",1,active,ARFF,1846,class,2014-04-08T13:13:22,1000000,21,0,21,aa911bff07edc6fa70de60a619fe1556,f016a0e133d3c0171a1ac9c25f53e455acbd62dc7bc6a0fade49232aa72cb5fd
128,"BNG(cylinder-bands,nominal,1000000)",1,active,ARFF,1848,band_type,2014-04-08T13:20:44,1000000,40,0,40,3b23414df6e73e0791d9a8546c314ae6,72b84a6d6ca17f70ea2d54c2204f2b12f3a62346f66ffb4474b960786a80f07b
131,"BNG(sick,nominal,1000000)",1,active,ARFF,1855,Class,2014-04-08T13:28:15,1000000,30,0,30,dec25ca35750a6a160831bf8158f081b,b561fd9f3bf3545abdb7721202821e588f5f2ed2a1e7bff0ae048f8a05bf352d
132,"BNG(sonar,nominal,1000000)",1,active,ARFF,2162,Class,2014-04-09T00:19:50,1000000,61,0,61,a0c68d35b3edc954c0bbb7acae683168,f46c3a21a5bbad1c3a48a17a69fd7cd5dcf2fa9d7ec207d88a94551690e2bb90
135,BNG(spambase),1,active,ARFF,2165,class,2014-04-09T00:33:38,1000000,58,0,58,98da813e4b912d702be705d746c997b2,f95556f1acf97908a0aa39c5b6c22573d6d9659fff840f6b3e3294ffa55f900b
137,BNG(tic-tac-toe),1,active,ARFF,2167,Class,2014-04-09T01:37:06,39366,10,0,10,b0db6abd9f2c1cfefa03c57a0cf22962,a7030f4b6467767ee0a23fc57f89f655469a5829cd8a3275272311266c67c60d
139,BNG(trains),1,active,ARFF,2169,class,2014-04-09T01:41:19,1000000,33,0,33,7a38017422e1707e7f74076ead9f7c14,4afc91753c1ce439ca38f25b5e0459e91e4152775cc52ed3317be291298626fc
140,"BNG(heart-statlog,nominal,1000000)",1,active,ARFF,2170,class,2014-04-09T01:43:43,1000000,14,0,14,13dac84fb5ba84e3772411c678aff885,54e24058184e531c795217a43117ab10ad7d338bc5834fcbc5ba346e1cee4480
142,"BNG(hepatitis,nominal,1000000)",1,active,ARFF,2178,Class,2014-04-09T01:48:36,1000000,20,0,20,9f37f17863021bfae15ac33e86c5c6de,c009ac891ec91dbb7e8314ad1387fc6ec91e23ae11c4b2eb17661007dd61b3c2
143,BNG(vote),1,active,ARFF,2179,Class,2014-04-09T01:48:47,131072,17,0,17,19649a7abb015cd815605b8bd1ce432f,3a5fe12eb8dbf856ed341ef12dc83cfd02e4e5409fca5064c979f9e2ccd4bf11
146,BNG(ionosphere),1,active,ARFF,2182,class,2014-04-09T01:58:52,1000000,35,0,35,9536d220d450cc22d4b8524076b9a3ab,bfdfb4d239509f7c657db22446695a751496204af6e98472e88d2110936075cd
151,electricity,1,active,ARFF,2419,class,2014-04-10T02:42:23,45312,9,7,2,8ca97867d960ae029ae3a9ac2c923d34,62d218174f597399a5a0a1538bc9cafb071b01cc8275935e80b5b6e32d838797
152,Hyperplane_10_1E-3,1,active,ARFF,2420,class,2014-04-10T02:43:21,1000000,11,10,1,1d9c6087f133db94dc3983b81ca76b01,f4061e2ed1640b62c5299f76b795d1de5da9c08ced8a757a8307b22c5da1f592
153,Hyperplane_10_1E-4,1,active,ARFF,2421,class,2014-04-10T02:44:18,1000000,11,10,1,335943de6f25a90f5696d95f133e9713,c28c5250bfb0ec8c4bd98c4359bf026177665e617333339f5116db6585886e84
161,SEA(50),1,active,ARFF,2429,class,2014-04-10T02:50:28,1000000,4,3,1,f8434514795604ab840dab2c470513da,5fd4e3c4c5dbdc9d2aeb930a0a3c60b4aac53cb3df224b002e3f716a8217d3e4
162,SEA(50000),1,active,ARFF,2430,class,2014-04-10T02:50:50,1000000,4,3,1,915da0086684caa50db5c3b28e624078,dd51cf96c8753fcf6bd6762547243483c69c6da868a682b04d0ae3ce4ef87a6d
164,molecular-biology_promoters,1,active,ARFF,3585,class,2014-04-23T13:11:40,106,58,0,58,51cdf7757673b47cadc65d6fbd223fd7,9e0ab4d0ed5e21e8e8116f1e5e10d2e408d297907f81fc12f97c2a7b60b271e5
172,shuttle-landing-control,1,active,ARFF,3595,Class,2014-04-23T13:11:58,15,7,0,7,3d4b487b5f8862f1051af1757e8f3b52,e8ee1ef33933e49cd366c759c3627a6dfbcb586a19aecba31d3c95943cd329b7
179,adult,1,active,ARFF,3608,class,2014-04-23T13:13:24,48842,15,2,13,19637eed23a4df49437a143b0f38c0b8,d6cb6f7e0537548e000bc3e6485501303e31d0667e9fae955c7baf19c1ebe7e5
246,BNG(labor),2,active,ARFF,5579,class,2014-04-28T15:05:02,1000000,17,8,9,e7e3f3ba924283bd5b8f818aafc6b543,828e53e7083540067e5d11420cf77c7ead0afb9d98f5ebc0e98e3cc797a256fe
251,BNG(breast-w),1,active,ARFF,5600,Class,2014-04-28T15:24:35,39366,10,9,1,cdfef8ae45356efbc7e0b4634e02c993,47d4cf2e61c8f1e88ac3139f0f2ee9915a713addba45e4bd4e9d02434b7612b9
256,BNG(colic.ORIG),1,active,ARFF,5631,surgical_lesion,2014-04-28T15:42:25,1000000,28,7,21,0d98f51e352108e1b6865f3debbcb3b9,cf5ea41c0be17cf98d018cde8aed9fbe7c3746f336fdc3b917aae48fbb770b26
257,BNG(colic),1,active,ARFF,5632,surgical_lesion,2014-04-28T15:44:22,1000000,23,7,16,94a263cce0d25377a7b2f2b4342f9aab,c252cfa68e85a0e4d55ac8c425f30d10978585ec894313242f5805a078b7fe66
258,BNG(credit-a),1,active,ARFF,6345,class,2014-04-29T16:17:30,1000000,16,6,10,fd72f29ef6bc458605912538c4a4bdb5,9f007c8a9c93b3a694755c1eedbcb6178252f3476519275da9e31430a40a781d
260,BNG(credit-g),1,active,ARFF,6349,class,2014-04-29T16:19:28,1000000,21,7,14,a49ffe6a958943b23d8667adca9fbc49,bcd0a4a0fd0bcb99755137dd29db49a1fedec63c0ed7cd1ae91e0ffcecbeb0d0
262,BNG(cylinder-bands),1,active,ARFF,6353,band_type,2014-04-29T16:27:02,1000000,40,18,22,6fa133ad0bfdac8417e776051b2a74e2,c7e8f78b062b36b9dc2a82b81c4542fd41fd0ceb03f2291cbe9aef915bf40a36
264,BNG(sonar),1,active,ARFF,6355,Class,2014-04-29T16:36:43,1000000,61,60,1,dbff5bde5b0f9729d78bc20345bfa460,2a7244b8e06af3643ea555b126fb0f7cb463ff7a0431d9eafed05ff3a69356be
267,BNG(heart-statlog),1,active,ARFF,6358,class,2014-04-29T17:22:18,1000000,14,13,1,9e6ba9126314fef7a1178b5a98bc24d9,f4d09f6bcbd036d702efac9e2800e660a99c7edd4aff8ccf78b7c3895ce0fd8c
269,BNG(hepatitis),1,active,ARFF,6360,Class,2014-04-29T17:24:58,1000000,20,6,14,f07e4c7911009ce4e8bed62192806262,71c2e2797303033b42e9497941b8ee91038d14bc56a8088777f8e8a0f9c59e52
273,IMDB.drama,1,active,Sparse_ARFF,11346,Drama,2014-05-02T01:36:38,120919,1002,1001,1,bfc87113d02468551507f21f0b31b41a,ba66483d996652a980a299aa94e649f1095ab993a070a9ad8ba6d9e09e0af448
274,20_newsgroups.drift,1,active,ARFF,11347,class,2014-05-02T01:47:24,399940,1002,0,1001,9ccbb85be7ddc03f135a28a302139d65,f54caf511a6fad536ca370c5301e0ef14585bd2e7106c0232ad9005031dee3ad
293,covertype,2,active,Sparse_ARFF,49823,Y,2014-08-15T16:21:51,581012,55,54,1,c6dd6aa7776cf8090a3168ca6a4557b9,55689f889d9ee29e8a79276e3f631d21c16d328b47bd5e643824758198d001d0
310,mammography,1,active,ARFF,52214,class,2014-08-25T11:38:52,11183,7,6,1,5feded5bcc067a737ec94f50ad42e93a,164110c6e817c05eb27200c85d7c34c5b179451927b37ffc47b4d7b651aa5953
311,oil_spill,1,active,ARFF,52215,class,2014-08-25T11:40:11,937,50,49,1,c236facd7285fb3357922a6918aef8dd,400f136b2c010098bb4ff4c7367b6e207f6851bd8a7266c9954f04002a6f5c46
312,scene,1,active,ARFF,1390080,Urban,2014-08-25T11:43:22,2407,300,294,6,8ceccf81e895a6520a78bf6f756dde17,bc0543a95d2785e727a3119d33b634ec22a7aba9b1b99d3c59e1b0fb7727e7ae
316,yeast_ml8,1,active,ARFF,52220,class14,2014-08-25T12:01:41,2417,117,103,14,8de1d69c4b5e204908980d79a7d32191,e7b776ace106687ea94bc9a2b03cc3a18f910a402a93b6fd3557351d8eff2839
333,monks-problems-1,1,active,ARFF,52236,class,2014-08-26T17:11:18,556,7,0,7,6cd008dccee6a34420c091dfe7cdb457,5421563fefe4923f2f4e2a5202207c989d4ba1bb964559649c01416bdca95a24
334,monks-problems-2,1,active,ARFF,52237,class,2014-08-26T17:29:02,601,7,0,7,6fdd89666158107428442fb0f8847117,8d0f3d61a8515c38435049fa8b45d65383e4184607ff397540deec4a8f653ed8
335,monks-problems-3,1,active,ARFF,52238,class,2014-08-26T17:41:07,554,7,0,7,16e0d4dc4b7b0ad65c2ac1b0c0bebf57,f0ae326b916cb8549a02693ec5d5e7a5f67a4ffbe4a6376f65b34d70c1ebd53f
336,SPECT,1,active,ARFF,52239,OVERALL_DIAGNOSIS,2014-08-26T17:57:57,267,23,0,23,5213445c1404c370719a03de0686b31b,4596c5462f0b62505f81325774333b006c0048dcd0da121cfaa7a0ebeb13a3bc
337,SPECTF,1,active,ARFF,52240,OVERALL_DIAGNOSIS,2014-08-26T18:26:20,349,45,44,1,461e5bd841bb945a8e391417197cf9b2,f82ebbbdde10c328c814774d82ece4566fdd23f78227e28de0e1d57035d122ef
346,aids,1,active,ARFF,52249,Sex,2014-08-27T14:11:10,50,5,2,3,ed3333773ff0254e9e3d7d84d72474dd,2f2988e98e75bcc1cd95f1986338cafabccc0b368145d1845dfb08908fdd969d
350,webdata_wXa,1,active,Sparse_ARFF,52253,Y,2014-08-29T18:29:14,36974,124,123,1,e35d0578373c6100a62354ca4d16744a,2de5bab481f0871fca926a8af0486f5a1954e2880fcc3f6a5f963a0f41edc33e
351,codrna,1,active,Sparse_ARFF,52254,Y,2014-08-29T18:49:36,488565,9,8,1,35122feb0ca0caf066073d28c3de40f8,8de46fc22a1576019cc90f15c30429135cd447c3a881e9dc2352b811eae78aca
354,poker,1,active,Sparse_ARFF,52257,Y,2014-08-29T19:20:49,1025010,11,10,1,a506f178fee2f4f27fcfb4c3231913d9,d9a65b7641c3205b4fb60b07e64b3055638aa3e16a0cbafb9ef9ff564c0841f8
357,vehicle_sensIT,1,active,Sparse_ARFF,52260,Y,2014-08-29T19:59:31,98528,101,100,1,b3a6a422fb3adf6bdcec25ea4006bd6b,8c998fc3f406fdef24c64aade396fcb9d15563652676a9297bf518e8766f50d3
376,SyskillWebert-Sheep,1,active,ARFF,1663734,class,2014-09-27T10:56:05,65,3,0,1,6fa21669f5b8f03c44301b7358995226,bc435e4e66e1f01542ba660ec9ea5aa3ff13c675bce70ad4b64835d5bca23e80
444,analcatdata_boxing2,1,active,ARFF,52556,Winner,2014-09-28T23:50:38,132,4,0,4,64b3aa6fe31a0627916561052a437b3f,d296cee3db416f5aa36f671bf7643c499ea0a71371db77b65b75da5ac292791f
446,prnn_crabs,1,active,ARFF,52558,sp,2014-09-28T23:50:42,200,8,6,2,577ca6c1986c45300b744fac0316dea0,b564a8b402e01ac133fb1e282daa1b0c3106924156474d23c2c00c56e9d52ae9
448,analcatdata_boxing1,1,active,ARFF,52560,Winner,2014-09-28T23:50:45,120,4,0,4,571a446f3f12782597fefa62a7fb1738,06d642e719d7762abfdf39741c9f96300d9b25bda54ce86838764c0c2207c45e
450,analcatdata_lawsuit,1,active,ARFF,52562,Laid.off,2014-09-28T23:50:49,264,5,3,2,ddd5b585b1f8f8a180b186921e693922,7f7a40a2d0ae1ae1462594a363005862b4153d413ff4eb26e3e9ccfd16e56ba1
451,irish,1,active,ARFF,52563,Leaving_Certificate,2014-09-28T23:50:51,500,6,2,4,b7f36a00bc8f9e2ab73d530b6f3ccb3d,9e110409565a1cb2491569d2e498a35240d2bfa672e429780c655334d7ebaae7
459,analcatdata_asbestos,1,active,ARFF,52571,Task,2014-09-28T23:51:07,83,4,1,3,f1f2cbff81e9cd439bd3fca8f0e894f9,c9e24abaf54cc0ff559ecce5859228de169aae4c3b0f8d7d87c2faf1a691387c
461,analcatdata_creditscore,1,active,ARFF,52573,Application.accepted,2014-09-28T23:51:11,100,7,3,4,db9b8d7dd2275e3ae994eb54963ef26f,364a5ee73afcddb09ab73037ed7e878dc1200fd3f3da0f29321b458feeff412a
463,backache,1,active,ARFF,52575,col_33,2014-09-28T23:51:14,180,32,5,27,b96c7dda90bf6c5ba7977c1dfa4d55d1,26c97e4975c3c5f4b7e138665a90a17e78d7c8352a088f771fd9d15791d989fa
464,prnn_synth,1,active,ARFF,52576,yc,2014-09-28T23:51:16,250,3,2,1,460a83440997ae958efc15e9b287e95c,8f80eea3ff5c416c3c9faf4d8a3d6408857555f89070a9cb747873dd63d3e7e5
465,analcatdata_cyyoung8092,1,active,ARFF,52577,Cy_Young,2014-09-28T23:51:18,97,11,7,4,532f736c3c290ba02865508164f52b1e,ecb53f138395b984fb74080eb6cead4c59dd323b699a5c753f0009fdc6cf87a9
466,schizo,1,active,ARFF,52578,class,2014-09-28T23:51:19,340,15,12,3,e8076934dffbd218b10568d82e55032f,30e5b21dcb0fb3c4d0e8f76c5827be26e42f93f2c93aa25a239ce350b9f8d3a7
467,analcatdata_japansolvent,1,active,ARFF,52579,Solvent,2014-09-28T23:51:21,52,9,8,1,13a2d40c6f2e9bf4c1f7aa2c1a020821,a3e2c5db62cd239ffc9b0891096fc542a0335a5b216e10eeb64e6a9cf7aba32f
470,profb,1,active,ARFF,52582,Home/Away,2014-09-28T23:51:27,672,10,5,5,87e2345053544e0dc4352ee91add043c,563ea3d3eb89b56be0f6fcf4c0a4e023db43d806208738a4893853083f2e267f
472,lupus,1,active,ARFF,52584,STATUS,2014-09-28T23:51:30,87,4,3,1,79fb95e9dd9f11d8f2d2bc937b28c70a,afd58a280199959e657a6dc562f342e2bc858560b28e50b0de92606b16372558
476,analcatdata_bankruptcy,1,active,ARFF,52588,Bankrupt,2014-09-28T23:51:40,50,6,5,1,a3768cf50349b994f31e606931ef43d7,8ecc3ee8b3635c72b96c1716db89352e73add51088a892bfd697c1578d7c2984
479,analcatdata_cyyoung9302,1,active,ARFF,52591,Cy_Young,2014-09-28T23:51:45,92,10,6,4,73491336384e4b7f8a95946f7ec7ba37,3ed915d90b9cd63d7739d86909cda3f425985cea5e01f9aab656563fa48d4e0b
481,biomed,1,active,ARFF,52593,class,2014-09-28T23:51:49,209,9,7,2,4b60951224dba77059fe7da953f028ed,39c55e3b3cef4b3820750dc105089856bba9d6f5bf9725f2efa5341e738ffde3
682,sleuth_ex2016,1,active,ARFF,52982,sv,2014-10-04T13:54:22,87,11,9,2,f6c8b13d5cb452903802a96f040d0cbe,f29609063073c35c13b4614d25bed7174c3110dbf4c499f9fa8bb61b3af53030
683,sleuth_ex2015,1,active,ARFF,52983,owl,2014-10-04T13:54:23,60,8,7,1,8fb2940ff86fca8cf55889a0387564e2,31c66b7603ce15c05644e1322df45b605c82272ca90b2356a7019c37b6fd60e0
713,vineyard,2,active,ARFF,53247,binaryClass,2014-10-04T14:31:20,52,3,2,1,87c94a215ab8d9b7b4edc11670c7caec,f4324856cb73ea04ed94912f2b5558e4e6f1fe30facc989949038451c36fbe38
714,fruitfly,2,active,ARFF,53248,binaryClass,2014-10-04T14:31:21,125,5,2,3,8535261feec7878759a7c675154070ff,cd259bc6728452e2371b1b26d1e18eca5de861738a15742900cbe189ac51b832
715,fri_c3_1000_25,2,active,ARFF,53249,binaryClass,2014-10-04T14:31:23,1000,26,25,1,48645bb8e43b63dd1ef10c605a0c4352,d326345c1e29ae1f33f7e4c8d97867b8502d85b7fc0eb32f5948ddd295af129f
716,fri_c3_100_50,2,active,ARFF,53250,binaryClass,2014-10-04T14:31:24,100,51,50,1,9c5aacbd20c85a5e428a3639ade4e410,5b7f6d1fc41a63c63bedc3c1ab55e52d9bc58f1f876c732bbc392db6886477c9
717,rmftsa_ladata,2,active,ARFF,53251,binaryClass,2014-10-04T14:31:26,508,11,10,1,3d2d6032471c0371b0b4743a4b6ac79e,6b7dd94471aa220b5b76fb30605924312c80ec41d0722ee9065cb68793547f86
718,fri_c4_1000_100,2,active,ARFF,53252,binaryClass,2014-10-04T14:31:28,1000,101,100,1,acafc6bc2885d2f33debd7b7ce865c1a,2beb7e6bd84be902beb67614bae7f20aab7552bf78b75a81962485b8cb6e175e
719,veteran,2,active,ARFF,53253,binaryClass,2014-10-04T14:31:30,137,8,3,5,03be7559381b1f8ae19dc85fd616d1be,ac5506163cea1a1d2c8d6a03f0cc7987907dee78a1026c49c253f29e60d0a0af
720,abalone,2,active,ARFF,53254,binaryClass,2014-10-04T14:31:31,4177,9,7,2,1cc38438f4ff4abb8a1843eb5d4e3ce5,5a5bcc6abefe9bbf952e8d050566b5e93599f261f0225a08f65c271d423bfc7a
721,pwLinear,2,active,ARFF,53255,binaryClass,2014-10-04T14:31:33,200,11,10,1,e726443d71602c49d5ab34bb7b56aa5e,964b6f225bdf9eb05a9c0046861568798b36740599120eddca13afcb7de13bdf
722,pol,2,active,ARFF,53256,binaryClass,2014-10-04T14:31:37,15000,49,48,1,8628cbca40de295c1c091dedf78c0be3,a5fdc5424b12f21d5dfac64001642a733fb4f048ed924442041fe6fa66c646fb
723,fri_c4_1000_25,2,active,ARFF,53257,binaryClass,2014-10-04T14:31:39,1000,26,25,1,4bd20b540de68e9fe8b877e57e6274c6,697d2ff730842eee27c02e3322369178991fb763ccc970fc0ae60a9b30222db0
724,analcatdata_vineyard,2,active,ARFF,53258,binaryClass,2014-10-04T14:31:41,468,4,2,2,7f2aa7e5f6143213de0110f06adb5e2b,97c3d991f49b1e4cc87fe0288a9628c9a98bca3dfc567c0cf73891e7ea051149
725,bank8FM,2,active,ARFF,53259,binaryClass,2014-10-04T14:31:43,8192,9,8,1,7ccf3543aa843176b4609001a3f86ae9,e39ef5fe0342fb55ff49722d91a0d0de0c9ad50c4b460cbafedf084a7074301c
726,fri_c2_100_5,2,active,ARFF,53260,binaryClass,2014-10-04T14:31:44,100,6,5,1,9bb7ffd513f7e7328a663bf7325e5a09,420ec1c40f03969be91dd38c00829d258f1575aa0580666a49c0a680562b2f66
727,2dplanes,2,active,ARFF,53261,binaryClass,2014-10-04T14:31:47,40768,11,10,1,c29e994928e4beb2d5d30fd105f74e10,31a544a13dd5996723e5f6aa566c117f1c307f6c1d06ac221bfe1fcd76f114e5
728,analcatdata_supreme,2,active,ARFF,53262,binaryClass,2014-10-04T14:31:48,4052,8,7,1,7f3a5e1489ca3e48d0622e8eb58e7dc0,ba2881917ad2a5c17c447101cadf2189d869d8f6eee24f25eb3978da68354a8d
729,visualizing_slope,2,active,ARFF,53263,binaryClass,2014-10-04T14:31:50,44,4,3,1,5f9f841bf5c425f80f1dba7d61d1629d,a159c14c431c11a37c795e960719544efb494871d8595e359f769e7c02917061
730,fri_c1_250_5,2,active,ARFF,53264,binaryClass,2014-10-04T14:31:51,250,6,5,1,f262de9ac4ea20ef59c6f87a7afc19d2,b4286a8464de90bc5678dbb58dc73f3900aa35dc066edbd52fb35e94d61377a7
731,baskball,2,active,ARFF,53265,binaryClass,2014-10-04T14:31:53,96,5,4,1,886bc7d1261486c10b10a68dd2fce6b3,2fe6d0f913acabc21b588ddf678e2650007ce24cdbf2db9ecca3a4b413bc68aa
732,fri_c0_250_50,2,active,ARFF,53266,binaryClass,2014-10-04T14:31:54,250,51,50,1,533f804d6ef40029cb836449a485c947,b4af26b2651e7c7c163be1b0ddd3899bd330d7ab99ede00380872ed16438017c
733,machine_cpu,2,active,ARFF,53267,binaryClass,2014-10-04T14:31:56,209,7,6,1,004fc28b2e3527038e2fd7b03d84aacf,3cbcf235351c4e7b755f33971322d998b9be637cd09b5905bfb315f2e11ce752
734,ailerons,2,active,ARFF,53268,binaryClass,2014-10-04T14:32:00,13750,41,40,1,bff4416605881612ccf31d834da0c7c7,267efbdcac409464e564300befaf756c831a582f0bad9a53a65e199632d5d59b
735,cpu_small,3,active,ARFF,53269,binaryClass,2014-10-04T14:32:02,8192,13,12,1,771b988d9441e547fbcb77d042652e8e,96e7ccdc3c6b693f6f7a2a3066fb1dd7a81f454141b04379e36e8e9868a3b0a6
736,visualizing_environmental,2,active,ARFF,53270,binaryClass,2014-10-04T14:32:04,111,4,3,1,24ee5955e898b4e5f27707955f6b85f5,02afb66d4baf914fe69319e2d25495a4f8d1e9ee17bbec805864561d85dfb88f
737,space_ga,2,active,ARFF,53271,binaryClass,2014-10-04T14:32:06,3107,7,6,1,17a346ed935c81d07a67014879c97722,1561a25c786ec741403bf20a3774fcc7016ef014f985d7ae3f0a5223a791255b
738,pharynx,2,active,ARFF,53272,binaryClass,2014-10-04T14:32:08,195,11,1,10,2a8943b896878da4bd4f923281799315,32452dca7f5422e2677e5ad35101801ce224b612900f9b6f68636f40b0e5d3f3
